#capability,update_pkt
#name,update_pkt
#grep skb helpers.txt |sort|uniq|grep -v support|cut -d '-' -f 2
skb_adjust_room,1
skb_ancestor_cgroup_id,0
skb_cgroup_id,0
skb_change_head,1
skb_change_proto,1
skb_change_tail,1
skb_change_type,1
skb_ecn_set_ce,1
skb_get_tunnel_key,0
skb_get_tunnel_opt,0
skb_get_xfrm_state,0
skb_load_bytes,0
skb_load_bytes_relative,0
skb_pull_data,1
skb_set_tunnel_key,1
skb_set_tunnel_opt,1
skb_store_bytes,1
skb_under_cgroup,0
skb_vlan_pop,1
skb_vlan_push,1
#grep -E -v "skb_adjust_room|skb_ancestor_cgroup_id|skb_cgroup_id|skb_change_head|skb_change_proto|skb_change_tail|skb_change_type|skb_ecn_set_ce|skb_get_tunnel_key|skb_get_tunnel_opt|skb_get_xfrm_state|skb_load_bytes|skb_load_bytes_relative|skb_pull_data|skb_set_tunnel_key|skb_set_tunnel_opt|skb_store_bytes|skb_under_cgroup|skb_vlan_pop|skb_vlan_push|supported|map|get|lookup|print|read|lock" helpers.txt |sort|uniq|cut -d '-' -f 2
bind,0
clone_redirect,0
csum_diff,0
csum_update,1
current_task_under_cgroup,0
l3_csum_replace,1
l4_csum_replace,1
lwt_push_encap,1
lwt_seg6_action,1
lwt_seg6_adjust_srh,1
lwt_seg6_store_bytes,1
msg_apply_bytes,0
msg_cork_bytes,0
msg_pop_data,1
msg_pull_data,1
msg_push_data,1
msg_redirect_hash,0
override_return,0
perf_event_output,0
probe_write_user,0
redirect,0
send_signal,0
set_hash,1
set_hash_invalid,1
setsockopt,1
sk_fullsock,0
sk_redirect_hash,0
sk_release,0
sk_select_reuseport,0
sk_storage_delete,0
sock_hash_update,0
sock_ops_cb_flags_set,1
strtol,0
strtoul,0
sysctl_set_new_value,0
tail_call,0
tcp_check_syncookie,0
tcp_gen_syncookie,0
tcp_sock,0
xdp_adjust_head,1
xdp_adjust_meta,1
xdp_adjust_tail,1
#rest
fib_lookup,0
get_cgroup_classid,0
get_current_cgroup_id,0
get_current_comm,0
get_current_pid_tgid,0
get_current_task,0
get_current_uid_gid,0
get_hash_recalc,0
get_listener_sock,0
get_local_storage,0
get_numa_node_id,0
get_prandom_u32,0
get_route_realm,0
get_smp_processor_id,0
get_socket_cookie,0
get_socket_uid,0
get_stack,0
get_stackid,0
getsockopt,0
ktime_get_ns,0
map_delete_elem,0
map_lookup_elem,0
map_peek_elem,0
map_pop_elem,0
map_push_elem,0
map_update_elem,0
msg_redirect_map,0
perf_event_read,0
perf_event_read_value,0
perf_prog_read_value,0
probe_read,0
probe_read_str,0
redirect_map,0
sk_lookup_tcp,0
sk_lookup_udp,0
sk_redirect_map,0
sk_storage_get,0
skc_lookup_tcp,0
sock_map_update,0
spin_lock,0
spin_unlock,0
sysctl_get_current_value,0
sysctl_get_name,0
sysctl_get_new_value,0
trace_printk,0
