func:fileName,Status
___constant_swab32:/home/sayandes/opened_extraction/examples/cilium/include/linux/swab.h,SKIPPED
bpf_ntohl:/home/sayandes/opened_extraction/examples/cilium/lib/endian.h,SKIPPED
__READ_ONCE:/home/sayandes/opened_extraction/examples/cilium/include/bpf/compiler.h,SKIPPED
barrier:/home/sayandes/opened_extraction/examples/cilium/include/bpf/compiler.h,SKIPPED
bpf_barrier:/home/sayandes/opened_extraction/examples/cilium/include/bpf/compiler.h,SKIPPED
READ_ONCE:/home/sayandes/opened_extraction/examples/cilium/include/bpf/compiler.h,SKIPPED
sk_extract4_key:/home/sayandes/opened_extraction/examples/cilium/sockops/bpf_sockops.c,MISSED
sk_lb4_key:/home/sayandes/opened_extraction/examples/cilium/sockops/bpf_sockops.c,MISSED
lb4_svc_is_local_scope:/home/sayandes/opened_extraction/examples/cilium/lib/lb.h,SKIPPED
lb4_to_lb6_service:/home/sayandes/opened_extraction/examples/cilium/lib/lb.h,SKIPPED
lb4_svc_is_l7loadbalancer:/home/sayandes/opened_extraction/examples/cilium/lib/lb.h,SKIPPED
lb4_lookup_service:/home/sayandes/opened_extraction/examples/cilium/lib/lb.h,SKIPPED
IPCACHE_PREFIX_LEN:/home/sayandes/opened_extraction/examples/cilium/lib/eps.h,SKIPPED
bpf_htonl:/home/sayandes/opened_extraction/examples/cilium/lib/endian.h,SKIPPED
offsetof:/home/sayandes/opened_extraction/examples/cilium/include/bpf/compiler.h,SKIPPED
csum_add:/home/sayandes/opened_extraction/examples/cilium/include/bpf/csum.h,SKIPPED
csum_diff:/home/sayandes/opened_extraction/examples/cilium/include/bpf/csum.h,SKIPPED
GET_PREFIX:/home/sayandes/opened_extraction/examples/cilium/lib/ipv6.h,SKIPPED
ipcache_lookup4:/home/sayandes/opened_extraction/examples/cilium/lib/eps.h,SKIPPED
lookup_ip4_remote_endpoint:/home/sayandes/opened_extraction/examples/cilium/lib/eps.h,SKIPPED
lookup_ip4_endpoint_policy_map:/home/sayandes/opened_extraction/examples/cilium/lib/eps.h,SKIPPED
likely:/home/sayandes/opened_extraction/examples/cilium/include/bpf/compiler.h,SKIPPED
unlikely:/home/sayandes/opened_extraction/examples/cilium/include/bpf/compiler.h,SKIPPED
policy_sk_egress:/home/sayandes/opened_extraction/examples/cilium/lib/policy.h,SKIPPED
__take_second_arg:/home/sayandes/opened_extraction/examples/cilium/lib/config.h,SKIPPED
____is_defined:/home/sayandes/opened_extraction/examples/cilium/lib/config.h,SKIPPED
___is_defined:/home/sayandes/opened_extraction/examples/cilium/lib/config.h,SKIPPED
__is_defined:/home/sayandes/opened_extraction/examples/cilium/lib/config.h,SKIPPED
is_defined:/home/sayandes/opened_extraction/examples/cilium/lib/config.h,SKIPPED
redirect_to_proxy:/home/sayandes/opened_extraction/examples/cilium/sockops/bpf_sockops.c,MISSED
__lookup_ip4_endpoint:/home/sayandes/opened_extraction/examples/cilium/lib/eps.h,SKIPPED
bpf_sock_ops_ipv4:/home/sayandes/opened_extraction/examples/cilium/sockops/bpf_sockops.c,MISSED
bpf_sock_ops_ipv6:/home/sayandes/opened_extraction/examples/cilium/sockops/bpf_sockops.c,MISSED
bpf_sockmap:/home/sayandes/opened_extraction/examples/cilium/sockops/bpf_sockops.c,MISSED
